#      
#   DShield.org Recommended Block List 
#    (c) 2017 DShield.org
#   some rights reserved. Details http://creativecommons.org/licenses/by-nc-sa/2.5/
#   use on your own risk. No warranties implied.
#   primary URL: http://feeds.dshield.org/block.txt
#     PGP Sign.: http://feeds.dshield.org/block.txt.asc
#
#   comments: info@dshield.org
#    updated: Wed Aug 23 05:00:28 2017 UTC
#   
#    This list summarizes the top 20 attacking class C (/24) subnets
#   over the last three days. The number of 'attacks' indicates the 
#   number of targets reporting scans from this subnet.
#
#
#    Columns (tab delimited):
#
#    (1) start of netblock  
#    (2) end of netblock
#    (3) subnet (/24 for class C)
#    (4) number of targets scanned
#    (5) name of Network 
#    (6) Country
#    (7) contact email address
#
#    If a range is assigned to multiple users, the first one is listed. 
#     
Start	End	Netmask	Attacks	Name	Country	email
77.72.82.0	77.72.82.255	24	3908	NETUP-AS ,	RU	aospan@netup.ru
91.211.0.0	91.211.0.255	24	3798	CHITANET-AS ,	RU	abuse@chnet.se
45.55.21.0	45.55.21.255	24	3525	DIGITALOCEAN-ASN - Digital Ocean, Inc.,	US	abuse@digitalocean.com
5.188.10.0	5.188.10.255	24	3279	PIN-AS ,	RU	abuse@pinspb.ru
37.139.50.0	37.139.50.255	24	3072	PIN-AS ,	RU	abuse@pinspb.ru
93.174.93.0	93.174.93.255	24	2845	QUASINETWORKS ,	NL	abuse@quasinetworks.com
80.82.77.0	80.82.77.255	24	2804	QUASINETWORKS ,	NL	abuse@quasinetworks.com
168.1.128.0	168.1.128.255	24	2256	SOFTLAYER - SoftLayer Technologies Inc.,	US	abuse@softlayer.com
158.85.81.0	158.85.81.255	24	2225	SOFTLAYER - SoftLayer Technologies Inc.,	US	abuse@softlayer.com
196.52.43.0	196.52.43.255	24	2182	LEASEWEB-NL Netherlands,	NL	abuse@nl.leaseweb.com
80.82.70.0	80.82.70.255	24	2098	QUASINETWORKS ,	NL	abuse@quasinetworks.com
60.191.38.0	60.191.38.255	24	1933	CHINANET-BACKBONE No.31,Jin-rong Street,	CN	anti-spam@ns.chinanet.cn.net
5.188.203.0	5.188.203.255	24	1923	PIN-AS ,	RU	abuse@pinspb.ru
180.97.106.0	180.97.106.255	24	1700	CHINANET-BACKBONE No.31,Jin-rong Street,	CN	anti-spam@ns.chinanet.cn.net
180.149.126.0	180.149.126.255	24	1678	GEMNET-MN GEMNET LLC,	MN	abusegem@gemnet.mn
195.88.208.0	195.88.208.255	24	1637	IPSERVER-RU-NET ,	UA	abuse@ipserver.su
45.55.22.0	45.55.22.255	24	1602	DIGITALOCEAN-ASN - Digital Ocean, Inc.,	US	abuse@digitalocean.com
91.230.47.0	91.230.47.255	24	1598	SKYPARKCDN-AS -=UPSTREAMS=-,	RU	info@skyparkcdn.ru
183.129.160.0	183.129.160.255	24	1592	CHINANET-BACKBONE No.31,Jin-rong Street,	CN	anti-spam@ns.chinanet.cn.net
71.6.146.0	71.6.146.255	24	1458	CARINET - CariNet, Inc.,	US	complaints@cari.net
