107.23.162.125	www.bombardier.com
107.23.199.237	logitech.com
109.0.24.6	www.cofidis.fr
109.200.4.26	virusbtn.com
109.200.4.26	www.virusbtn.com
109.235.141.131	aldi.fr
109.235.141.131	www.aldi.fr
110.75.143.33	alipay.com
110.75.146.111	www.alipay.com
114.112.68.197	duba.net
115.124.111.101	simplysup.com
12.130.207.110	dlink.com
12.130.207.110	dlink.fr
12.130.207.110	www.dlink.com
121.50.63.71	konicaminolta.com
12.168.17.60	industrial-bank.com
12.169.195.36	continental.com
12.34.100.45	prudential.com
12.46.114.200	cvs.com
128.167.142.36	bose.com
128.241.23.25	hitachi.com
128.242.126.101	canon.com
128.242.126.101	www.canon.com
129.185.32.196	bull.com
129.185.32.196	www.bull.com
129.253.55.56	wdc.com
129.35.163.100	gemoneybank.fr
129.35.201.71	lufthansa.com
129.42.38.1	ibm.com
129.42.38.1	lotus.com
129.42.58.216	www.ibm.com
129.9.64.13	chryslercars.com
129.9.96.13	chrysler.com
130.57.66.5	www.novell.com
130.76.64.18	www.boeing.com
13.13.40.11	xerox.com
1.33.173.79	plextor.com
133.208.39.194	bridgestone.com
134.0.91.132	iiyama.com
134.204.240.121	maxtor.com
134.204.240.83	seagate.com
134.223.107.67	northropgrumman.com
134.223.107.67	www.northropgrumman.com
134.54.224.20	agfa.com
134.54.224.20	agfa.fr
134.54.224.20	www.agfa.com
135.245.1.1	alcatel-lucent.com
135.245.1.1	lucent.com
136.163.230.35	saab.com
137.135.133.11	www.kensington.com
137.135.204.52	arcabit.com
137.135.204.52	www.arcabit.com
137.254.120.50	oracle.com
138.11.2.65	matrox.com
138.11.2.65	www.matrox.com
141.113.97.32	www.daimler.com
142.241.254.136	atb.com
142.241.254.136	www.atb.com
142.245.97.15	rbcroyalbank.com
143.112.128.124	mckesson.com
143.164.100.143	audi.com
143.166.224.202	dell.fr
143.166.224.244	dell.com
143.166.224.244	www.dell.ca
143.166.224.244	www.dell.com
143.166.83.38	dell.ca
144.160.155.43	att.com
145.226.109.155	www.cic.fr
145.226.35.142	www.creditmutuel.com
145.226.45.139	www.creditmutuel.fr
145.226.99.116	www.monabanq.com
146.127.226.4	lehman.com
146.133.2.119	enel.com
147.178.243.112	iomega-europe.com
147.178.248.49	iomega.com
147.178.248.49	www.lenovoemc.com
147.243.14.149	nokia.com
149.111.129.191	uhc.com
149.111.129.191	www.uhc.com
151.151.88.100	wachovia.com
15.192.124.145	hp.com
15.192.40.24	www.hp.com
15.192.45.139	digital.com
15.216.110.21	3com.com
15.217.49.153	www.hp.com
153.2.224.50	ups.com
155.136.80.222	rbs.co.uk
155.136.80.222	www.rbs.co.uk
155.140.124.174	bnpparibas.com
155.250.129.245	merck.fr
155.250.129.245	merckserono.ch
155.250.129.245	merckserono.fr
155.250.129.245	merckserono.net
155.250.129.245	www.merckserono.com
155.250.129.245	www.merckserono.fr
155.50.0.41	kodak.com
156.151.59.35	sun.com
157.254.235.74	technicolor.com
158.191.169.62	ca-paris.fr
158.191.169.62	www.ca-paris.fr
158.191.169.96	lcl.fr
158.191.171.146	caam.com
158.191.171.146	www.amundi.com
158.191.171.146	www.caam.com
158.191.171.164	www.ca-toulouse31.fr
158.191.171.175	www.ca-sicavetfcp.fr
158.191.171.18	www.credit-agricole.com
158.191.172.101	ca-cotesdarmor.fr
158.191.172.101	www.ca-cotesdarmor.fr
158.191.172.103	ca-des-savoie.fr
158.191.172.103	www.ca-des-savoie.fr
158.191.172.105	ca-finistere.fr
158.191.172.105	www.ca-finistere.fr
158.191.172.110	ca-guadeloupe.fr
158.191.172.110	www.ca-guadeloupe.fr
158.191.172.112	ca-illeetvilaine.fr
158.191.172.112	www.ca-illeetvilaine.fr
158.191.172.114	ca-loirehauteloire.fr
158.191.172.114	www.ca-loirehauteloire.fr
158.191.172.117	ca-martinique.fr
158.191.172.117	www.ca-martinique.fr
158.191.172.118	ca-assetmanagement.com
158.191.172.121	ca-morbihan.fr
158.191.172.121	www.ca-morbihan.fr
158.191.172.123	ca-norddefrance.fr
158.191.172.123	www.ca-norddefrance.fr
158.191.172.126	ca-nmp.fr
158.191.172.126	www.ca-nmp.fr
158.191.172.131	ca-normandie-seine.fr
158.191.172.131	www.ca-normandie-seine.fr
158.191.172.136	ca-pca.fr
158.191.172.136	www.ca-pca.fr
158.191.172.139	ca-reunion.fr
158.191.172.139	www.ca-reunion.fr
158.191.172.140	ca-languedoc.com
158.191.172.140	www.ca-languedoc.fr
158.191.172.145	ca-sudmed.fr
158.191.172.145	www.ca-sudmed.fr
158.191.172.147	ca-sudrhonealpes.fr
158.191.172.147	www.ca-sudrhonealpes.fr
158.191.172.149	ca-toulousain.fr
158.191.172.151	ca-tourainepoitou.fr
158.191.172.151	www.ca-tourainepoitou.fr
158.191.172.172	www.ca-normandie.fr
158.191.172.47	credit-agricole.fr
158.191.172.47	www.credit-agricole.fr
158.191.172.70	ca-alpesprovence.fr
158.191.172.70	www.ca-alpesprovence.fr
158.191.172.74	ca-anjou-maine.fr
158.191.172.74	www.ca-anjou-maine.fr
158.191.172.76	ca-aquitaine.fr
158.191.172.76	www.ca-aquitaine.fr
158.191.172.78	ca-atlantique-vendee.fr
158.191.172.78	ca-atlantiquevendee.fr
158.191.172.78	www.ca-atlantique-vendee.fr
158.191.172.83	ca-centrest.fr
158.191.172.83	www.ca-centrest.fr
158.191.172.85	ca-centrefrance.fr
158.191.172.85	www.ca-centrefrance.fr
158.191.172.87	ca-centreloire.fr
158.191.172.87	www.ca-centreloire.fr
158.191.172.89	ca-centreouest.fr
158.191.172.89	www.ca-centreouest.fr
158.191.172.93	ca-cb.fr
158.191.172.93	www.ca-cb.fr
158.191.172.95	ca-cmds.fr
158.191.172.95	www.ca-cmds.fr
158.191.172.97	ca-charente-perigord.fr
158.191.172.97	www.ca-charente-perigord.fr
158.191.172.99	ca-corse.fr
158.191.172.99	www.ca-corse.fr
158.232.12.119	who.int
158.28.238.10	mobil.com
158.28.238.10	www.mobil.com
158.28.238.9	www.exxon.com
159.18.185.20	ingdirect.ca
159.18.217.21	www.ingdirect.ca
159.231.80.200	cibc.com
159.45.170.42	www.wellsfargo.com
159.45.170.52	wellsfargo.com
159.45.2.68	www.wellsfargo.com
159.50.15.34	bnpparibas.net
159.50.88.90	cetelem.fr
159.50.88.90	www.cetelem.fr
159.53.42.11	chase.com
159.53.42.11	www.chase.com
159.53.64.61	bankone.com
159.53.74.46	jpmorganchase.com
159.53.84.126	www.chase.com
159.53.85.117	www.jpmorgan.com
159.53.85.120	jpmorgan.com
160.254.113.82	bnymellon.com
160.46.244.131	bmw.com
160.46.244.135	rolls-roycemotorcars.com
160.83.8.29	deutschebank.be
160.83.8.79	deutsche-bank.de
160.83.8.79	www.deutsche-bank.de
160.83.8.80	db.com
160.83.8.80	www.db.com
160.92.103.234	auchandirect.fr
161.107.1.30	freddiemac.com
161.107.1.30	www.freddiemac.com
161.150.139.129	pnc.com
161.150.139.129	www.pnc.com
161.169.74.71	walmart.ca
161.170.244.20	wal-mart.com
161.170.248.20	walmart.com
161.69.13.140	siteadvisor.com
161.69.13.140	www.siteadvisor.com
161.69.13.160	nai.com
161.69.13.40	mcafee.com
161.69.13.43	foundstone.com
161.69.13.43	www.foundstone.com
161.69.13.69	securecomputing.com
161.69.161.27	webwasher.com
161.81.80.160	exabyte.com
161.81.80.70	www.tandbergdata.com
161.88.243.123	philips.fr
162.53.228.15	pcfinancial.ca
163.156.214.48	www.axa-winterthur.ch
163.156.216.22	axa.ch
163.156.216.23	winterthur-insurance.ch
163.166.156.201	british-airways.com
163.166.156.201	britishairways.com
163.166.156.201	www.britishairways.com
163.228.84.110	imation.fr
163.228.84.110	www.imation.com
163.228.84.121	memorex.com
163.228.84.121	www.memorex.com
163.228.84.122	tdk-media.eu
163.228.84.122	www.tdkperformance.com
164.100.109.240	airindia.com
164.109.25.194	honda.com
164.109.25.248	www.honda.com
164.109.35.20	www.verizonenterprise.com
